text,label
"I feel so happy and grateful today",happy
"Everything is going great and I am excited",happy
"I miss my old days and school friends",nostalgic
"I feel very lonely tonight",lonely
"I am stressed with all these deadlines",stressed
"I am calm after meditation",calm
"I am angry and frustrated with everything",angry
"I am sad and want to cry",sad
"I need motivation to continue my goals",motivational
"I am afraid of failing this semester",fear
"Life feels empty and hopeless",depressing
"I was shocked by the news",surprising
"I am in love and feeling romantic",romantic
"My emotions are mixed right now",mixed
"Today is amazing and joyful",happy
"I feel down and broken",sad
"I need to relax and breathe",calm
"Pressure is too much and I am overwhelmed",stressed
"This throwback song reminds me of childhood",nostalgic
"I feel isolated from everyone",lonely
"I want intense music because I am mad",angry
"Push me to work harder",motivational
"I am scared about the results",fear
"Nothing matters anymore",depressing
"That was completely unexpected",surprising
"Date night mood is here",romantic
"I cannot decide what I feel",mixed
"Feeling blessed and cheerful",happy
"Tears keep falling",sad
"I need peace and silence",calm
"Burnout is killing me",stressed
"Thinking about old memories",nostalgic
"No one understands me",lonely
"I am furious today",angry
"I need a pump-up track",motivational
"I am panicking before the exam",fear
"I feel dark and numb",depressing
"Wow I did not expect that",surprising
"I feel affectionate and warm",romantic
"I feel both happy and sad",mixed
"Celebrating my small wins",happy
"I am heartbroken",sad
"I am peaceful this evening",calm
"Too much workload and pressure",stressed
"Old songs make me emotional",nostalgic
"I am alone in my room",lonely
"So irritated and angry",angry
"Help me stay disciplined",motivational
"I fear the unknown",fear
"I feel worthless",depressing
"This surprised me so much",surprising
"Thinking about my crush",romantic
"My mood keeps changing",mixed
